question,label
Explain the theory of relativity.,conceptual
What causes the seasons on Earth?,conceptual
Describe the process of photosynthesis.,conceptual
Who invented the telephone?,conceptual
Explain the principle of conservation of energy.,conceptual
What are the states of matter?,conceptual
Describe the water cycle.,conceptual
Who was Marie Curie?,conceptual
Explain Newton's laws of motion.,conceptual
What is the purpose of DNA?,conceptual
Who wrote Hamlet?,conceptual
Describe the process of cellular respiration.,conceptual
Explain the greenhouse effect.,conceptual
What causes tides in the ocean?,conceptual
Describe the process of evolution.,conceptual
What is quantum mechanics?,conceptual
Who discovered electricity?,conceptual
Explain the concept of black holes.,conceptual
What causes earthquakes?,conceptual
Describe the human circulatory system.,conceptual
Who is Albert Einstein?,conceptual
Explain the immune system.,conceptual
What is the Big Bang theory?,conceptual
Describe the formation of galaxies.,conceptual
Who discovered penicillin?,conceptual
Explain plate tectonics.,conceptual
What causes climate change?,conceptual
Describe the nervous system.,conceptual
Who was Isaac Newton?,conceptual
Explain natural selection.,conceptual
What is the function of enzymes?,conceptual
Describe the digestive system.,conceptual
Who invented the light bulb?,conceptual
Explain the water filtration process.,conceptual
What is the importance of biodiversity?,conceptual
Describe the respiratory system.,conceptual
Who developed the theory of evolution?,conceptual
Explain how vaccines work.,conceptual
What causes volcanic eruptions?,conceptual
Describe the structure of atoms.,conceptual
Who was Nikola Tesla?,conceptual
Explain photosynthesis in plants.,conceptual
What is the law of conservation of mass?,conceptual
Describe the endocrine system.,conceptual
Who discovered gravity?,conceptual
Explain genetic inheritance.,conceptual
What causes global warming?,conceptual
Describe the solar system.,conceptual
Who invented the airplane?,conceptual
Explain the process of mitosis.,conceptual
What is the function of the heart?,conceptual
Describe climate zones.,conceptual
Who is known as the father of physics?,conceptual
Explain the principles of thermodynamics.,conceptual
What causes air pressure changes?,conceptual
Describe the rock cycle.,conceptual
Who was Galileo Galilei?,conceptual
Explain the water cycle phases.,conceptual
What is the ozone layer?,conceptual
Describe the ocean currents.,conceptual
Who discovered the electron?,conceptual
Explain DNA replication.,conceptual
What causes acid rain?,conceptual
Describe the carbon cycle.,conceptual
Who invented the microscope?,conceptual
Explain the greenhouse gases.,conceptual
What is nuclear fusion?,conceptual
Describe how plants grow.,conceptual
Who was Thomas Edison?,conceptual
Explain the role of mitochondria.,conceptual
What causes lightning?,conceptual
Describe the menstrual cycle.,conceptual
Who developed the periodic table?,conceptual
Explain the photosynthesis equation.,conceptual
What is the water cycle?,conceptual
Describe the layers of atmosphere.,conceptual
Who discovered radioactivity?,conceptual
Explain the carbon footprint.,conceptual
What causes hurricanes?,conceptual
Describe the nervous tissue.,conceptual
Who was James Watt?,conceptual
Explain the pH scale.,conceptual
What is the function of kidneys?,conceptual
Describe the rock layers.,conceptual
Who invented the steam engine?,conceptual
Explain tidal waves.,conceptual
What causes erosion?,conceptual
Describe the process of fertilization.,conceptual
Who was Louis Pasteur?,conceptual
Explain the structure of DNA.,conceptual
What is global warming?,conceptual
Describe metabolism.,conceptual
Who developed quantum theory?,conceptual
Explain cell division.,conceptual
What causes soil pollution?,conceptual
Describe the immune response.,conceptual
Who was Dmitri Mendeleev?,conceptual
Explain the water treatment process.,conceptual
What is geothermal energy?,conceptual
Describe the human skeleton.,conceptual
Who invented the printing press?,conceptual
Explain photosynthesis stages.,conceptual
What causes ocean pollution?,conceptual
Describe the food chain.,conceptual
Who was Alexander Fleming?,conceptual
Explain climatic zones.,conceptual
Explain why a moving object eventually stops if no force acts on it,conceptual
explain climate zones?,conceptual
Explain why a moving object eventually stops if no force acts on it?,conceptual
Why do passengers feel a jerk when a bus starts suddenly?,conceptual
How does mass affect the acceleration of an object under the same force?,conceptual
Why do objects fall towards the Earth?,conceptual
what is electricity?,conceptual
what is motion?,conceptual
Explain momentum,conceptual
